recipe_id,title,ingredients,quantities
826,Soft and Crispy Cheese Stuffed Puff Sticks Recipe,"mozzarella cheese,virgin olive oil,cheddar cheese,flour (maida),puff pastry sheet,basil leaves","1,1,1,1,1,1"
827,Tomato Jam Recipe,"salt,tomato ripe,cinnamon stick (dalchini) crush coarse powder,sugar,lemon,cloves (laung) crush coarse powder","1,1,1,1,1,1"
828,Gram flour and Chilli vegetable recipe,"salt,asafoetida (hing),coriander (dhania) leaves,red chilli powder,water,gram flour (besan),lemon,turmeric powder,green chillies,sunflower oil","1,1,1,1,1,1,1,1,1,1"
829,Watermelon Cucumber Gazpacho Recipe,"tomato,salt,red wine vinaigrette,serrano pepper,basil leaves,virgin olive oil omit cholestrol friendly,cucumbers,pepper,watermelon","1,1,1,1,1,1,1,1,1"
830,Shakshuka With Oats Recipe-A High Protein Breakfast,"tomato,salt,cumin powder (jeera),instant oats (oatmeal) peppy tomato,cloves garlic,virgin olive oil,coriander (dhania) leaves,onion,baked beans,rajma (large kidney beans),black pepper powder,eggs,red chilli powder cayenne pepper,dried oregano","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
831,Kerala Special Mambazha Puliserry Recipe,"salt,coconut,mango (ripe),mustard seeds,red chilli powder,dry red chilli,curd,curry leaves,cumin seeds (jeera),coconut oil,methi seeds (fenugreek seeds),turmeric powder,green chillies","1,1,1,1,1,1,1,1,1,1,1,1,1"
832,Broad Bean And Courgette Zucchini Pilaf Recipe,"basmati rice,salt,green chilli,mint leaves (pudina),white broad beans,green peas (matar),cloves garlic,virgin olive oil,green zucchini","1,1,1,1,1,1,1,1,1"
833,Patiala Aloo Recipe,"tomato,cumin powder (jeera),garam masala powder,green chilli,amchur (dry mango powder),asafoetida (hing),bay leaf (tej patta),coriander (dhania) leaves,chaat masala powder,red chilli powder,methi seeds (fenugreek seeds),cumin seeds (jeera),tamarind paste,coriander powder,potato (aloo),turmeric powder,kasuri methi (dried fenugreek leaves),mustard oil oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
834,Muesli Oats Cupcake Filled with Yogurt and Strawberries Recipe,"baking powder,hung curd (greek yogurt),milk,eggs,ragi flour (finger millet nagli),curd,muesli saffola fruit rush,strawberries dices,oats flour,sunflower oil","1,1,1,1,1,1,1,1,1,1"
835,KFC Style Crispy Chicken Popcorn Recipe,"salt,cumin powder (jeera),rosemary,wheat brown bread,eggs,milk,red chilli flakes,garlic,lemon,thyme leaves,flour (maida),chicken breasts bless,garam masala powder,dried oregano","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
836,Custard Milk Recipe-Spanish Custard,"corn flour,eggs,milk,sugar,cinnamon stick (dalchini),lemon,vanilla","1,1,1,1,1,1,1"
837,Sesame Bread Patties Recipe (Bread Cutlets),"salt,hung curd (greek yogurt),corn flour,black sesame seeds,red chilli powder,crusty bread log,sugar,onion,sesame seeds (til seeds),green chillies,sunflower oil","1,1,1,1,1,1,1,1,1,1,1"
838,Kongunadu Style Vetrilai Saadam Recipe - Betel Leaves Rice,"cashew nuts,salt,red chillies,rice,mustard seeds,fennel seeds (saunf),betel leaves (paan),cloves garlic,black peppercorns,curry leaves,white urad dal (split),sesame seeds (til seeds),cumin seeds (jeera),peanuts (moongphali),chana dal (bengal gram dal),sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
839,Chettinad Muttai Masala Recipe - Chettinad Style Egg Curry,"tomato,salt,ginger,coconut,fennel seeds (saunf),red chilli powder,cloves garlic,black peppercorns,dry red chilli,coriander (dhania) seeds,onion,cinnamon stick (dalchini),poppy seeds,cumin seeds (jeera),coriander powder,eggs,cloves (laung),garam masala powder,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
840,Beetroot Chicken Cutlets Recipe,"salt,boneless chicken,coriander (dhania) leaves,potato (aloo),red chilli powder,black peppercorns,curry leaves,ginger garlic paste,cumin seeds (jeera),wheat bread crumbs,beetroot,green chillies,garam masala powder,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
841,Thai Style Khao Tom Recipe (Black Rice Clear Soup Recipe),"black rice,salt,ginger,red chillies,onion caramelised,cloves garlic,stalk lemon grass,soy sauce,coriander (dhania) leaves,onion,lemon,spring onion greens,pepper,tofu,eggs","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
842,Dahi Batata Puri Chaat Recipe - Classic Indian Tea Time Snack,"black salt,sev,chaat masala powder,red chilli powder,chaat masala powder powder,sweet chutney (date tamarind),curd,sugar,mango ( not season),onion,lemon,pani puris,potato (aloo),green chutney (coriander mint)","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
843,Quick Vegetable Noodles Recipe,"tomato,salt,green beans (french beans),ginger,coriander (dhania) leaves,pasta eggs noodles,cloves garlic,mixed herbs (dried) (oregano,carrot,virgin olive oil,onion,rajma (large kidney beans),black pepper powder,green bell pepper (capsicum),red chilli flakes red chilli powder,butter","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
844,Thai Yellow Curry Recipe,"salt,coriander (dhania) leaves,thai red curry paste,thai basil leaves,water,cloves garlic,dry red chilli,kaffir lime leaves lemon leaves,onion,mixed vegetables potato,cumin seeds (jeera),stalks lemongrass,coconut milk,turmeric powder,galangal (indsian ginger) ginger","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
845,Creamy Mixed Vegetable Risotto Recipe,"salt,vegetable stock,dried oregano powder,cloves garlic,red yellow green bell peppers (capsicum),onion,black pepper powder,button mushrooms,arborio rice,butter,cheese processed","1,1,1,1,1,1,1,1,1,1,1"
846,Thandai Flavoured Rice Kheer Recipe,"thandai powder,basmati rice,cashew nuts,pistachios,cardamom (elaichi) podsseeds,saffron strands,milk,black peppercorns,sugar,badam (almond),poppy seeds,cardamom powder (elaichi),cinnamon stick (dalchini),condensed milk,rose,mixed nuts","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
847,Lemongrass Coconut Rice Recipe,"salt,ginger,stock lemongrass,rice,green peas (matar),water,carrot,black peppercorns,green beans,broccoli,coconut milk,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1"
848,Cheese And Black Beans Quesadillas Recipe,"tomato,salt,cumin powder (jeera),black beans,virgin olive oil,onion,cheddar cheese,black pepper powder,tortillas","1,1,1,1,1,1,1,1,1"
849,Tawa Amritsari Kulcha Recipe,"salt,wheat flour,cumin powder (jeera),green chilli,amchur (dry mango powder),potato (aloo) skin,red chilli powder,curd,turmeric powder,garam masala powder,sunflower oil","1,1,1,1,1,1,1,1,1,1,1"
850,One Pot Spinach Macaroni Pasta Recipe,"salt,spinach,macaroni pasta,milk,black pepper powder,parmesan cheese,butter,sunflower oil","1,1,1,1,1,1,1,1"
851,Chilli Baby Corn (Manchurian) Recipe,"spring onion (bulb greens)with the bulb leaves kept separate,green bell peppers,corn flour,ginger,salt,spring onion greens,sweet spicy red chilli sauce (tomato chilli sauce) (or tomato ketchup),cloves garlic,dark soy sauce,baby corn,red chilli sauce (or other red chilli sauce),pepper,green chillies","1,1,1,1,1,1,1,1,1,1,1,1,1"
852,Sri Lankan Pumpkin Curry Recipe - No Oil,"salt,green chilli,parangikai pumpkin,mustard seeds,red chilli powder,cloves garlic,sugar,cinnamon stick (dalchini),methi seeds (fenugreek seeds),black pepper powder,coconut milk,turmeric powder","1,1,1,1,1,1,1,1,1,1,1,1"
853,Asian Black Pepper Basa Fish Recipe,"basa fish fillets,ginger,corn flour,sesame (gingelly) oil,black peppercorns,dark soy sauce,spring onion (bulb greens),dry red chilli,garlic,vinegar,black pepper powder","1,1,1,1,1,1,1,1,1,1,1"
854,Nutty Oats and Berry Truffle Recipe,"instant oats (oatmeal) instant,badam (almond),brown sugar (demerara sugar),ghee butter,blueberries dry,spice powder","1,1,1,1,1,1"
855,Baked Masala Namak Para Recipe - Carom Seeds Spiced Biscuits,"salt,wheat flour,chaat masala powder the end,asafoetida (hing),ghee,black pepper corns,ajwain (carom seeds),water,sunflower oil brush,flour (maida),turmeric powder","1,1,1,1,1,1,1,1,1,1,1"
856,Chili Coriander and Capsicum Rusk Chutney Recipe,"salt,coriander (dhania) leaves,cloves garlic,sugar,lemon,peanuts (moongphali),green bell pepper (capsicum),rusk (or bread crumbs),green chillies","1,1,1,1,1,1,1,1,1"
857,Millet and Jowar Paniyaram Recipe,"salt,ginger,green chilli,mustard seeds,foxtail millet,coconut,jowar seeds,cloves garlic,curry leaves,white urad dal (split),coriander (dhania) leaves,onion,methi seeds (fenugreek seeds),white urad dal","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
858,Double Ka Meetha Recipe With Mixed Nuts Rabri,"cashew nuts,wheat brown bread,pistachios,ghee,milk,saffron strands,rose water,water,sugar,badam (almond),cardamom powder (elaichi)","1,1,1,1,1,1,1,1,1,1,1"
859,Thalipeeth Bhajani Recipe -Typical Maharashtrian Multigrain Flour Mix,"ragi seeds,moth dal (matki),wheat germ,soybeans (whole soya dal),rice,jowar seeds,green moong dal,coriander (dhania) seeds,cumin seeds (jeera),bajra (seeds),masoor dal,kala chana (brown chickpeas)","1,1,1,1,1,1,1,1,1,1,1,1"
860,Noodle Sizzler With Garlic Pepper Sauce And Baked Vegetables Recipe,"salt,ginger,mixed vegetables (cauliflower,cloves garlic,virgin olive oil,soy sauce,red chillies fire,green bell pepper (capsicum),red bell pepper (capsicum) fire,onion,black pepper powder,hakka noodles,button mushrooms,red chilli sauce,cabbage (patta gobi muttaikose),sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
861,Egg Muffin With Vegetables Recipe,"cheese,salt,red bell pepper (capsicum),spring onion greens,spinach,chaat masala powder,black pepper powder,green bell pepper (capsicum),eggs,green chillies,sunflower oil","1,1,1,1,1,1,1,1,1,1,1"
862,Sweet & Spicy Totapuri Mango Chutney Recipe,"salt,kashmiri red chilli powder,jaggery,cumin seeds (jeera),mango totapuri","1,1,1,1,1"
863,"Healthy Vegetable Fries Recipe (Oven roasted Potato, Zucchini and Carrot Fries)","salt,wheat bread crumbs brown bread,red chilli flakes,carrot,italian,eggs,garlic powder,black pepper powder,green zucchini,potato (aloo),yellow zucchini","1,1,1,1,1,1,1,1,1,1,1"
864,Avarekalu Usli (Broad Bean In Gravy) Recipe,"lemon,salt,ginger,asafoetida (hing),mustard seeds,curry leaves,white urad dal (split),garlic,onion,avarekai (broad beans),turmeric powder,green chillies finy","1,1,1,1,1,1,1,1,1,1,1,1"
865,Andhra Style Pulses Recipes,"cashew nuts,yellow moong dal (split),ghee,milk,jaggery,water,cardamom powder (elaichi),coconut milk,rice flour","1,1,1,1,1,1,1,1,1"
866,Sugarpare Recipe (Shankarpali),"salt,cinnamon powder (dalchini),ghee,water,sugar,vivatta maida wheat flour,sunflower oil","1,1,1,1,1,1,1"
867,Cashew Bunch Recipe,"salt,corn flour,rice flour,coconut,jaggery,water,cardamom powder (elaichi),green moong dal,turmeric powder,sunflower oil","1,1,1,1,1,1,1,1,1,1"
868,7 Cups Burfi Recipe,"ghee,coconut,milk,water,gram flour (besan) cardamom powder – tsp,sugar,cardamom powder (elaichi)","1,1,1,1,1,1,1"
869,Punjabi radish bhurji recipe,"salt,ginger,mustard oil,mooli mullangi (radish) tiny,asafoetida (hing),ajwain (carom seeds),red chilli powder,mooli ke patte (radish greens) (with stem),turmeric powder,green chillies","1,1,1,1,1,1,1,1,1,1"
870,Andhra Cheese & Vegetables Pesarattu Recipe,"yellow bell pepper (capsicum),salt,red bell pepper (capsicum),ginger,tomato ketchup pizza sauce,mozzarella cheese cheddar,rice,coriander (dhania) leaves,paneer,mixed herbs (dried),onion,methi seeds (fenugreek seeds),ghee make the pesarattu,green bell pepper (capsicum),green moong dal,red chilli sauce,green chillies,instant oats (oatmeal)","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
871,Broccoli Salad Recipe with Roasted Onion & Peppers,"yellow bell pepper (capsicum),salt,red bell pepper (capsicum),virgin olive oil,onion,broccoli,veeba harissa sauce,brown sugar (demerara sugar),vinegar","1,1,1,1,1,1,1,1,1"
872,Bihari Green Peas Bharbhara (Recipe in Hindi),"salt,ginger,garam masala powder,green chilli,cumin powder,red chilli powder,onion,oil,coriander powder,black pepper powder,green peas,gram flour","1,1,1,1,1,1,1,1,1,1,1,1"
873,Punjabi Wadi Choliya Ki Sabzi Recipe,"tomato,salt,coriander (dhania),ginger,asafoetida (hing),red chilli powder,curd,green chickpeas,badi (wadi),coriander powder,turmeric powder,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1"
874,Mooli Raita Recipe - Radish Raita Recipe,"coriander (dhania) leaves,salt,green chilli,cumin powder,red chilli powder,radish take,hung curd","1,1,1,1,1,1,1"
875,Mexican Style Scrambled Egg Enchiladas Recipe,"tomato,salt,wheat flour,makki ka atta (yellow corn meal flour),red bell pepper (capsicum),green bell peppers,cumin powder (jeera),hung curd (greek yogurt),red chilli powder,cloves garlic,red chilli flakes,sugar,onion,lemon,black pepper powder,eggs,dried oregano","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
876,"Spinach, Apple and Walnut Salad Recipe","sunflower seeds,salt,raisins,baby spinach,lemon,apple cored,black pepper powder,dijon mustard,walnuts,sunflower oil","1,1,1,1,1,1,1,1,1,1"
877,Bhindi With Cashews and Coconut Sabzi Recipe,"cashew nuts,coconut,mustard seeds,red chilli powder,curry leaves,dry red chilli,garlic,cumin seeds (jeera),bhindi (lady fingerokra),chana dal (bengal gram dal),sunflower oil","1,1,1,1,1,1,1,1,1,1,1"
878,Zucchini Lasagna Recipe,"pizza pasta sauce,salt,paneer,mozzarella cheese,virgin olive oil,basil leaves,onion,garlic,black pepper powder,green zucchini,dried oregano","1,1,1,1,1,1,1,1,1,1,1"
879,Mutton Shami Kebab Recipe,"salt,ginger,ghee,cardamom (elaichi) podsseeds,fennel seeds (saunf),ajwain (carom seeds),cloves garlic,dry red chillies,onion,cinnamon stick (dalchini),mutton bless,black pepper powder,cloves (laung),mint leaves (pudina),turmeric powder,green chillies,chana dal (bengal gram dal) fro","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
880,Konkan Style Vali Bhajji Ambat Recipe-Spiced Malabar Spinach Dal,"tomato,salt,arhar dal (split toor dal),coconut,mustard seeds,jaggery,tamarind mixed water,coriander (dhania) seeds,onion,dry red chillies,spinach leaves (palak) malabar,cloves garlic pound,turmeric powder,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
881, Kambu Murukku (Recipe In Hindi),"salt,wheat flour,kalonji seeds,millet flour,wateroil,curd,oil,butter,green chilli paste,garlic paste","1,1,1,1,1,1,1,1,1,1"
882,Garlic Naan Without Yeast Recipe,"baking powder,wheat flour,salt,coriander (dhania) leaves,milk,baking soda,curd,garlic ground paste,flour (maida),butter","1,1,1,1,1,1,1,1,1,1"
883,Coconut Ladoo Stuffed With Pistachios Recipe,"coconut plus rolling,ghee grease palms when rolling ladoos,rose water,pistachios ground,condensed milk","1,1,1,1,1"
884,Whole Wheat Buttermilk Vanilla Waffles Recipe,"baking powder,wheat flour,salt,fruits apples,curd,vanilla,maple syrup,eggs flax meal eggs replacer,sunflower oil","1,1,1,1,1,1,1,1,1"
885,Avocado Parsley Pasta Salad Recipe,"tomato,salt,avocados ripe,del monte corn kernels,black peppercorns ground,cloves garlic,conchiglie pasta,virgin olive oil,parsley leaves,lemon","1,1,1,1,1,1,1,1,1,1"
886,Coleslaw Salad on Sliced Apple Recipe,"salt,hung curd (greek yogurt),stalks spring onion (bulb greens),purple cabbage,tabasco original sauce,potato (aloo),red chilli flakes,apple,lemon,walnuts,dried oregano","1,1,1,1,1,1,1,1,1,1,1"
887,Arbi Ka Saag Recipe,"salt,coriander (dhania) leaves,green chilli,mustard seeds,asafoetida (hing),red chilli powder,water,ginger garlic paste,curd,colocasia root (arbi),onion,coriander powder,turmeric powder,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
888,Waffled Falafels and Vegetables Recipe,"cumin powder (jeera),lettuce leaves,parangikai pumpkin,coriander (dhania) leaves,black peppercorns ground,cloves garlic,virgin olive oil,kabuli chana (white chickpeas),onion,black pepper powder,red onion,salt,tahini,beetroot,kabuli chana (white chickpeas) until tender,cauliflower (gobi),garlic,lemon,green olives,dry red chillies chilli powder,sun dried tomato,parsley leaves,mooli mullangi (radish) a,coriander powder","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
889,Butter Garlic Naan Recipe - Garlic Flavoured Flatbread,"salt,cloves garlic ground,coriander (dhania) leaves,water,dry yeast,cloves garlic,curd,sugar,mint leaves (pudina),flour (maida),butter","1,1,1,1,1,1,1,1,1,1,1"
890,Garlic Dal Recipe,"coriander (dhania) leaves,salt,arhar dal moong dal,cloves garlic,mustard,curry leaves,oil,tamarind paste,green chillies","1,1,1,1,1,1,1,1,1"
891,Recipe Shape Recipe,"tomato,salt,kashmiri red chilli powder,asafoetida (hing),brinjal (baingan eggsplant),water,dry ginger powder,cumin seeds (jeera),turmeric powder,sunflower oil","1,1,1,1,1,1,1,1,1,1"
892,Brinjal Methi Bharta Recipe With Pomagrams,"tomato,salt,ginger,brinjal (baingan eggsplant),anardana powder (pomegranate seed powder),methi leaves (fenugreek leaves),red chilli powder,onion,coriander powder,turmeric powder,green chillies,butter,garam masala powder,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
893,Spicy Neer Dosa Recipe,"salt,coconut,rice (sona masuri local rice),coriander (dhania) seeds,dry red chillies,methi seeds (fenugreek seeds),cumin seeds (jeera),sunflower oil grease the pan","1,1,1,1,1,1,1,1"
894,Spaghetti Pasta In Green Olive Pesto Sauce Recipe,"parmesan cheese,spaghetti pasta,black peppercorns ground,virgin olive oil,lemon,lemon,green olives,green olive pesto","1,1,1,1,1,1,1,1"
895,Tomato Onion Vegetable Recipe - Tomato Onion Vegetable,"tomato,salt,mustard oil,mustard seeds,bay leaves (tej patta),cinnamon stick,red chilli powder,cloves garlic,curry leaves,onion,cloves (laung),turmeric powder,green chillies","1,1,1,1,1,1,1,1,1,1,1,1,1"
896,Rajasthani Style Oliya Recipe (Sweetened Rice Yogurt Pudding Recipe),"cashew nuts,sugar,rice,milk,saffron strands,curd,cardamom powder (elaichi)","1,1,1,1,1,1,1"
897,Mexican Style Vegetarian Chimichanga Recipe-Deep Fried Burrito,"salt,green bell peppers,brown rice,wheat flour,green chilli,baking powder,red chilli powder,cloves garlic,carrot,red chilli flakes,jalapenos,dry ginger powder,onion,black pepper powder,tomato pasta sauce,butter","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
898,Surti Obbattu Recipe - Fruit & Nut Pooris In Saffron Milk,"cashew nuts,sultanas,ghee,coconut,milk,saffron strands,flour (maida),gulkand,sugar,badam (almond),cardamom powder (elaichi),sooji (semolina rava),rose,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
899,Togarikalu Akki Recipe - Karnataka Style Rice Rava Upma with Fresh Pigeon Peas,"salt,arhar dal (split toor dal),mustard seeds,coconut,asafoetida (hing),green toor dal (pigeon pea),rice rava,black peppercorns,curry leaves,white urad dal (split),dry red chillies,cumin seeds (jeera),chana dal (bengal gram dal),sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
900,Easy Potato Kurma Recipe,"tomato,salt,bay leaf (tej patta),fennel seeds (saunf),coconut,potato (aloo),red chilli powder,ginger garlic paste,onion,cinnamon stick (dalchini),cumin seeds (jeera),coriander powder,turmeric powder,garam masala powder,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
901,Suva Methi Baingan Sabzi Recipe ( Eggplant in Dill and Methi leaves Curry Recipe),"tomato,salt,ginger,dill leaves,mustard oil,mustard seeds,brinjal (baingan eggsplant),fennel seeds (saunf),asafoetida (hing),cloves garlic,kasuri methi (dried fenugreek leaves),cumin seeds (jeera),green chillies","1,1,1,1,1,1,1,1,1,1,1,1,1"
902,Matki Chi Rassa Bhaji Recipe (Maharashtrian Style Moth Beans Cooked with Goda Masala),"tomato,salt,ginger,moth dal (matki) spouted,mustard seeds,red chilli powder,cloves garlic,curry leaves,onion,cumin seeds (jeera),maharashtrian goda masala,coriander (dhania) leaves,turmeric powder,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
903,Cream Cheese Swirl Brownies Recipes,"large eggs,salt,eggs,britannia cheese classic,vanilla,dark chocolate,caster sugar,flour (maida),butter","1,1,1,1,1,1,1,1,1"
904,Aloo Amritsari (Recipe In Hindi),"tomato,turmeric powder,salt,ginger,kashmiri red chilli powder,onion directly,coriander,celery,spoon garam masala powder,garlic,oil,coriander powder,potatoes","1,1,1,1,1,1,1,1,1,1,1,1,1"
905,Karela Aur Baingan Ki Sabzi Recipe - Bitter Gourd Brinjal Sabzi,"salt,amchur (dry mango powder),mustard seeds,brinjal (baingan eggsplant),karela (bitter gourd pavakkai),red chilli powder,onion,cumin seeds (jeera),methi seeds (fenugreek seeds),turmeric powder,sunflower oil","1,1,1,1,1,1,1,1,1,1,1"
906,Greek Style Briami Recipe (Simple Vegetable Stew Recipe),"tomato,salt,brinjal (baingan eggsplant),cauliflower (gobi),cloves garlic,carrot,stalks celery,parsley leaves,virgin olive oil,onion,white broad beans over night,black pepper powder,green zucchini,potato (aloo)","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
907,South Indian Style Sorakkai Kootu Recipe - Bottle Gourd Cooked with Lentils,"yellow moong dal (split),coconut,mustard seeds,asafoetida (hing),red chilli powder,dry red chilli,curry leaves,white urad dal (split),bottle gourd (lauki),cumin seeds (jeera),turmeric powder,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1"
908,Tattha Poyaru Sambar Recipe - Black Eyed Beans Sambar,"tomato,salt,arhar dal (split toor dal),sambar powder,coriander (dhania) leaves,asafoetida (hing),mustard seeds,red chilli powder,cloves garlic,dry red chilli,white urad dal (split),onion,methi seeds (fenugreek seeds),turmeric powder,black eyed beans (lobia),sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
909,Wheat Rava Halwa Recipe,"wheat (dalia godumai rava),ghee,jaggery,brown sugar (demerara sugar),cardamom powder (elaichi)","1,1,1,1,1"
910,Kerala Style Vedakkai Pachadi Recipe - Kerala Style Vendakkai Pachadi (Recipe in Hindi),"dry red chilli break,salt,coconut,mustard,curd,curry leaves,oil,green chillies,cumin seeds,okra","1,1,1,1,1,1,1,1,1,1"
911,Jaggery Sweetened Apple Oatmeal Recipe,"nutmeg powder,instant oats (oatmeal) instant,milk,jaggery,raisins,water,ginger ground,apple,vanilla,sesame seeds (til seeds),hazelnut,cinnamon powder (dalchini)","1,1,1,1,1,1,1,1,1,1,1,1"
912,Vegetable Fried Mug Pulses Recipe - Bengali Style Mong Dal With Binta Vegetables,"salt,green beans (french beans),yellow moong dal (split),ginger,parangikai pumpkin,bay leaf (tej patta),cardamom (elaichi) podsseeds,ghee,cauliflower (gobi),green peas (matar),sugar,dry red chillies,cinnamon stick (dalchini),cumin seeds (jeera),turmeric powder,cloves (laung)","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
913,Breakfast Bar Recipe With Berries Quinoa & Oats,"wheat bran,peanut butter,badam (almond),cranberries raisins,oat bran,quinoa,instant oats (oatmeal)","1,1,1,1,1,1,1"
914,Rajasthani Ghasela Recipe (Besan Ka Pitta),"spring onion greens,salt,coriander (dhania) leaves,asafoetida (hing),red chilli powder,gram flour (besan),onion,cumin seeds (jeera),turmeric powder,green chillies,sunflower oil","1,1,1,1,1,1,1,1,1,1,1"
915,Zucchini And Bell Pepper Stir Fry Recipe,"salt,red bell pepper (capsicum),tme leaves,cloves garlic,red chilli flakes,virgin olive oil,onion,green zucchini,dried oregano","1,1,1,1,1,1,1,1,1"
916, Haldi Ki Sabzi Recipe,"salt,ginger,garam masala powder,turmeric root,mustard,curd,coriander,curry leaves,coriander powder,black pepper powder,green chillies,gram flour","1,1,1,1,1,1,1,1,1,1,1,1"
917,Erode Pallipalayam Chicken Fry Recipe,"salt,red chilli powder,cloves garlic,dry red chilli,pearl onion (sambar onion),curry leaves,coriander (dhania) leaves,coconut oil,chicken breasts,turmeric powder","1,1,1,1,1,1,1,1,1,1"
918,Cauliflower Coconut Milk Stew (Recipe In Hindi),"turmeric powder,tomato,salt,red chilli powder,cloves garlic,black pepper grind,bay leaf,coriander,oil,coconut milk,cardamom grind,cabbage","1,1,1,1,1,1,1,1,1,1,1,1"
919,Oven Baked Sweet Potato Fries Recipe,"salt,corn flour,cloves garlic,virgin olive oil,herbs (or dried),paprika powder (or red chilli powder),sweet potatoes","1,1,1,1,1,1,1"
920,Raw Mango and Cucumber Salad Recipe - Raw Mango Cucumber Salad Recipe,"cucumber,peanut baked paprika powder,salt,mango","1,1,1,1"
921,Kesar Shahi Tukda With Rabdi Recipe (Saffron Bread Pudding With Spiced Milk Custard),"rabri,wheat brown bread,mixed nuts (almonds,ghee,saffron strands,water,sugar,cardamom powder (elaichi)","1,1,1,1,1,1,1,1"
922,Potato Bodi Fry Recipe (Spicy Potato Sabiji Prem Tamil Nadu),"potato (aloo) a the skin (do not boil them too soft),salt,arhar dal (split toor dal),asafoetida (hing),sesame (gingelly) oil,white urad dal (split),dry red chillies,chana dal (bengal gram dal)","1,1,1,1,1,1,1,1"
923,"Mango, Avocado And Chickpea Salad Recipe","salt,mango (ripe),virgin olive oil,dry red chilli,kabuli chana (white chickpeas),avocado,lemon large lemon,red romaine lettuce,pepper","1,1,1,1,1,1,1,1,1"
924,"Mung Bean & Tofu Salad Recipe With Sweet Potatoes, Cucumbers & Tomatoes","salt,cumin powder (jeera),lettuce leaves,green chilli,coriander powder,coriander (dhania) leaves,sev,chaat masala powder,green moong sprouts,red chilli powder,lemon divided,sweet chutney (date tamarind),pomegranate fruit kernels,onion,lemon,cucumber,tofu,cherry tomato,green chutney (coriander mint),sweet potato","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
925,Begun Basanti Recipe - Eggplant In Mustard Yogurt Curry,"salt,cumin powder (jeera),ginger,green chilli,mustard oil,brinjal (baingan eggsplant),red chilli powder,curd,sugar,poppy seeds,yellow mustard seeds,turmeric powder","1,1,1,1,1,1,1,1,1,1,1,1"
926,Badshahi Chicken Recipe,"cumin powder (jeera),kashmiri red chilli powder,nutmeg,onion,turmeric powder,green chillies,sunflower oil,salt,black cardamom (badi elaichi),chicken curry,cardamom (elaichi) podsseeds,rose water,mace (javitri),red chilli powder,onion paste,curd,sugar,garlic paste,ghee,milk,cashew nuts paste,cinnamon stick (dalchini),ginger paste,cloves (laung)","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
927,Vegetarian Pot Pie Recipe,"yellow bell pepper (capsicum),(or milk,tme leaves,corn kernels,cloves garlic,carrot,onion,sunflower oil,salt,wheat flour,red bell pepper (capsicum),potato (aloo) (or sweet potato),eggs,broccoli cauliflower florets,tme leaves,tabasco original saucered chilli powder,flour (maida),vegetable stock,water,parsley leaves,worcestershire sauce,button mushrooms,butter,bay leaves (tej patta),butter cold,green peas (matar),parsley leaves,green beans (french beans) ""","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
928,Sweet Potato And Broccoli Sabzi Recipe,"salt,cumin powder (jeera),kalonji (onion nigella seeds),red chilli powder,broccoli,turmeric powder,sweet potato,sunflower oil","1,1,1,1,1,1,1,1"
